x,y,z
2.65697,1.12583,1e-06
2.65697,1.14213,1e-06
2.65697,1.15844,1e-06
2.65697,1.17474,1e-06
2.65697,1.19104,4e-06
2.65697,1.20735,4e-06
2.65697,1.22365,9e-06
2.65697,1.23996,1e-06
2.65697,1.25626,1e-06
2.65697,1.27257,4e-06
2.65697,1.28887,4e-06
2.65697,1.30517,9e-06
2.65697,1.32148,9e-06
2.65697,1.33778,0.002116
2.65697,1.35409,0.002116
2.65697,1.37039,0.025281
2.65697,1.3867,0.020736
2.65697,1.403,0.020736
2.65697,1.41931,0.174724
2.65697,1.43561,0.063504
2.65697,1.45191,0.063504
2.65697,1.46822,0.063504
2.65697,1.48452,0.012769
2.65697,1.50083,0.093025
2.65697,1.51713,0.000256
2.65697,1.53344,0.000256
2.65697,1.54974,0.000256
2.65697,1.56604,9e-06
2.65697,1.58235,0.014161
2.65697,1.59865,0.014161
2.65697,1.61496,0.014161
2.65697,1.63126,4e-06
2.65697,1.64757,4e-06
2.65697,1.66387,4e-06
2.65697,1.68017,4e-06
2.65697,1.69648,4e-06
2.65697,1.71278,4e-06
2.65697,1.72909,0.045796
2.65697,1.74539,0.045796
2.65697,1.7617,0.0121
2.65697,1.778,0.0121
2.65697,1.79431,0.0121
2.65697,1.81061,0.499849
2.65697,1.82691,0.499849
2.65697,1.84322,0.499849
2.65697,1.85952,0.488601
2.65697,1.87583,0.488601
2.65697,1.89213,0.488601
2.65697,1.90844,0.984064
2.65697,1.92474,0.705725
2.65697,1.94104,0.705725
2.65697,1.95735,0.705725
2.65697,1.97365,0.705725
2.65697,1.98996,0.531441
2.65697,2.00626,0.352852
2.65697,2.02257,0.352852
2.65697,2.03887,0.352852
2.65697,2.05517,0.352852
2.65697,2.07148,0.000324
2.65697,2.08778,1e-06
2.65697,2.10409,1e-06
2.65697,2.12039,1e-06
2.65697,2.1367,1e-06
2.65697,2.153,0.000484
2.65697,2.16931,0.000484
2.65697,2.18561,0.000484
2.65697,2.20191,0.101124
2.65697,2.21822,0.101124
2.65697,2.23452,0.044104
2.65697,2.25083,0.044104
2.65697,2.26713,0.044104
2.65697,2.28344,0.044104
2.65697,2.29974,0.196249
2.65697,2.31604,0.196249
2.65697,2.33235,0.196249
2.65697,2.34865,0.196249
2.65697,2.36496,0.196249
2.67328,1.12583,1e-06
2.67328,1.14213,1e-06
2.67328,1.15844,1e-06
2.67328,1.17474,4e-06
2.67328,1.19104,0.000144
2.67328,1.20735,4e-06
2.67328,1.22365,9e-06
2.67328,1.23996,1e-06
2.67328,1.25626,1e-06
2.67328,1.27257,4e-06
2.67328,1.28887,4e-06
2.67328,1.30517,9e-06
2.67328,1.32148,0.002116
2.67328,1.33778,0.002116
2.67328,1.35409,0.002116
2.67328,1.37039,0.025281
2.67328,1.3867,0.020736
2.67328,1.403,0.020736
2.67328,1.41931,0.174724
2.67328,1.43561,0.174724
2.67328,1.45191,0.063504
2.67328,1.46822,0.012769
2.67328,1.48452,0.012769
2.67328,1.50083,0.093025
2.67328,1.51713,0.093025
2.67328,1.53344,0.000256
2.67328,1.54974,9e-06
2.67328,1.56604,9e-06
2.67328,1.58235,0.014161
2.67328,1.59865,0.014161
2.67328,1.61496,0.014161
2.67328,1.63126,4e-06
2.67328,1.64757,4e-06
