x,y,z
2.68513,1.14047,-19.6974
2.68513,1.17307,-19.9603
2.68513,1.20568,-39.6464
2.68513,1.23829,-39.7768
2.68513,1.2709,-38.8185
2.68513,1.30351,-38.4801
2.68513,1.33612,-37.4492
2.68513,1.36873,-4.58428
2.68513,1.40134,-5.66162
2.68513,1.43394,-5.98007
2.68513,1.46655,-12.1784
2.68513,1.49916,-12.944
2.68513,1.53177,-13.1167
2.68513,1.56438,-18.8787
2.68513,1.59699,-18.6036
2.68513,1.6296,-34.6613
2.68513,1.6622,-34.4833
2.68513,1.69481,-22.227
2.68513,1.72742,-23.3018
2.68513,1.76003,-10.582
2.68513,1.79264,-11.4396
2.68513,1.82525,-6.65614
2.68513,1.85786,-6.95704
2.68513,1.89047,-7.0017
2.68513,1.92307,-4.64784
2.68513,1.95568,-4.29049
2.68513,1.98829,-5.87662
2.68513,2.0209,-7.31415
2.68513,2.05351,-7.10965
2.68513,2.08612,-40.115
2.68513,2.11873,-40.0432
2.68513,2.15134,-20.0008
2.68513,2.18394,-35.2818
2.68513,2.21655,-12.2175
2.68513,2.24916,-13.8641
2.68513,2.28177,-14.0851
2.68513,2.31438,-10.1812
2.68513,2.34699,-10.544
2.68513,2.3796,-9.17624
2.71774,1.14047,-19.9329
2.71774,1.17307,-20.1948
2.71774,1.20568,-39.6945
2.71774,1.23829,-39.8202
2.71774,1.2709,-23.9009
2.71774,1.30351,-38.6693
2.71774,1.33612,-37.7117
2.71774,1.36873,-5.07806
2.71774,1.40134,-4.3568
2.71774,1.43394,-2.40346
2.71774,1.46655,-3.53077
2.71774,1.49916,-12.949
2.71774,1.53177,0.997512
2.71774,1.56438,-10.6343
2.71774,1.59699,-10.191
2.71774,1.6296,-26.2738
2.71774,1.6622,-25.9108
2.71774,1.69481,-26.459
2.71774,1.72742,-22.866
2.71774,1.76003,-10.263
2.71774,1.79264,-3.59836
2.71774,1.82525,-4.31886
2.71774,1.85786,-1.31144
2.71774,1.89047,-1.31927
2.71774,1.92307,0.131799
2.71774,1.95568,0.648823
2.71774,1.98829,-5.50404
2.71774,2.0209,-7.51518
2.71774,2.05351,-7.24429
2.71774,2.08612,-39.9389
2.71774,2.11873,-16.1769
2.71774,2.15134,-8.03011
2.71774,2.18394,-8.08726
2.71774,2.21655,-12.4204
2.71774,2.24916,-13.9248
2.71774,2.28177,-7.70029
2.71774,2.31438,-7.95401
2.71774,2.34699,-8.92372
2.71774,2.3796,-9.24498
2.75034,1.14047,-6.69276
2.75034,1.17307,-10.3785
2.75034,1.20568,-10.2757
2.75034,1.23829,-24.076
2.75034,1.2709,-23.9704
2.75034,1.30351,-23.4332
2.75034,1.33612,-5.37869
2.75034,1.36873,-4.59127
2.75034,1.40134,-3.14063
2.75034,1.43394,3.09917
2.75034,1.46655,2.08608
2.75034,1.49916,0.0170317
2.75034,1.53177,1.39292
2.75034,1.56438,1.66431
2.75034,1.59699,-5.01393
2.75034,1.6296,-4.3899
2.75034,1.6622,-25.7251
2.75034,1.69481,-14.1201
2.75034,1.72742,-15.2256
2.75034,1.76003,-6.67725
2.75034,1.79264,-3.20343
2.75034,1.82525,-4.063
2.75034,1.85786,-1.03878
2.75034,1.89047,-5.97767
2.75034,1.92307,-5.72726
2.75034,1.95568,-5.16924
2.75034,1.98829,-8.06821
2.75034,2.0209,-7.80156
2.75034,2.05351,-7.49236
2.75034,2.08612,-44.6846
2.75034,2.11873,-15.8172
2.75034,2.15134,-7.73693
2.75034,2.18394,-7.9223
2.75034,2.21655,-7.31356
2.75034,2.24916,-7.3886
2.75034,2.28177,-7.75603
2.75034,2.31438,-7.95898
2.75034,2.34699,-7.71859
2.75034,2.3796,-9.07308
2.78295,1.14047,-7.16404
2.78295,1.17307,-12.7717
2.78295,1.20568,-16.7018
2.78295,1.23829,-16.6752
2.78295,1.2709,-55.5076
2.78295,1.30351,-13.0411
2.78295,1.33612,-12.4388
2.78295,1.36873,-5.00613
2.78295,1.40134,-3.96494
2.78295,1.43394,2.44436
2.78295,1.46655,1.9576
2.78295,1.49916,-0.0249326
2.78295,1.53177,1.81043
2.78295,1.56438,-0.951621
2.78295,1.59699,-0.707103
2.78295,1.6296,-10.7155
2.78295,1.6622,-10.4596
2.78295,1.69481,-14.1826
2.78295,1.72742,-15.1018
2.78295,1.76003,-6.53191
2.78295,1.79264,-7.56181
2.78295,1.82525,-4.11727
2.78295,1.85786,-4.55311
2.78295,1.89047,-4.62527
2.78295,1.92307,-3.55093
2.78295,1.95568,-3.16743
2.78295,1.98829,-7.26738
2.78295,2.0209,-6.8589
2.78295,2.05351,-6.62086
2.78295,2.08612,-44.7772
2.78295,2.11873,-44.8684
2.78295,2.15134,-20.9993
2.78295,2.18394,-7.99858
2.78295,2.21655,-7.47292
2.78295,2.24916,-7.77011
2.78295,2.28177,-4.74722
2.78295,2.31438,-4.75475
2.78295,2.34699,-7.69015
2.78295,2.3796,-7.82538
2.81556,1.14047,-7.45906
2.81556,1.17307,-13.0999
2.81556,1.20568,-17.0341
2.81556,1.23829,-56.1898
2.81556,1.2709,-56.023
2.81556,1.30351,-55.8327
2.81556,1.33612,-4.25128
2.81556,1.36873,-3.58392
2.81556,1.40134,-1.52724
2.81556,1.43394,-1.47806
2.81556,1.46655,-0.0485038
2.81556,1.49916,0.112894
2.81556,1.53177,-1.13953
2.81556,1.56438,-0.831416
2.81556,1.59699,-0.910583
2.81556,1.6296,-6.00175
2.81556,1.6622,-11.1492
2.81556,1.69481,-15.1773
2.81556,1.72742,-54.3999
2.81556,1.76003,-6.62465
2.81556,1.79264,-8.5563
2.81556,1.82525,-9.27683
2.81556,1.85786,-14.5892
2.81556,1.89047,-14.6479
2.81556,1.92307,-8.14756
2.81556,1.95568,-7.8196
2.81556,1.98829,-16.9744
2.81556,2.0209,-16.7466
2.81556,2.05351,-16.5262
2.81556,2.08612,-45.1845
2.81556,2.11873,-61.9845
2.81556,2.15134,-21.0237
2.81556,2.18394,-21.2269
2.81556,2.21655,-7.4015
2.81556,2.24916,-7.2921
2.81556,2.28177,-7.40819
2.81556,2.31438,-7.42886
2.81556,2.34699,-7.38316
2.81556,2.3796,-7.45633
2.84817,1.14047,-36.0833
2.84817,1.17307,-62.2504
2.84817,1.20568,-62.3081
2.84817,1.23829,-62.2004
2.84817,1.2709,-56.1324
2.84817,1.30351,-19.0253
2.84817,1.33612,-18.7354
2.84817,1.36873,-4.54487
2.84817,1.40134,-5.69411
2.84817,1.43394,-4.38165
2.84817,1.46655,-0.272453
2.84817,1.49916,0.072845
2.84817,1.53177,0.684888
2.84817,1.56438,1.01337
2.84817,1.59699,0.458524
2.84817,1.6296,-6.56574
2.84817,1.6622,-6.68921
2.84817,1.69481,-54.6354
2.84817,1.72742,-54.6751
2.84817,1.76003,-61.2412
2.84817,1.79264,-55.9236
2.84817,1.82525,-56.7012
2.84817,1.85786,-14.4589
2.84817,1.89047,-57.1948
2.84817,1.92307,-27.516
2.84817,1.95568,-27.2667
2.84817,1.98829,-12.8661
2.84817,2.0209,-12.7967
2.84817,2.05351,-12.7474
2.84817,2.08612,-9.76364
2.84817,2.11873,-62.36
2.84817,2.15134,-21.238
2.84817,2.18394,-21.2636
2.84817,2.21655,-49.3677
2.84817,2.24916,-49.4855
2.84817,2.28177,-6.92743
2.84817,2.31438,-9.88084
2.84817,2.34699,-10.0343
2.84817,2.3796,-9.64625
2.88078,1.14047,-36.0017
2.88078,1.17307,-62.0578
2.88078,1.20568,-46.4596
2.88078,1.23829,-46.5719
2.88078,1.2709,-56.2122
2.88078,1.30351,-13.9995
2.88078,1.33612,-16.4216
2.88078,1.36873,-8.32289
2.88078,1.40134,-7.88115
2.88078,1.43394,-4.96011
2.88078,1.46655,-0.76357
2.88078,1.49916,-0.209522
2.88078,1.53177,-0.365638
2.88078,1.56438,-0.167106
2.88078,1.59699,-0.691025
2.88078,1.6296,-7.26617
2.88078,1.6622,-8.92789
2.88078,1.69481,-8.81651
2.88078,1.72742,-55.1562
2.88078,1.76003,-61.3176
2.88078,1.79264,-52.3227
2.88078,1.82525,-53.061
2.88078,1.85786,-57.102
2.88078,1.89047,-57.1803
2.88078,1.92307,-23.8678
2.88078,1.95568,-14.1984
2.88078,1.98829,-14.1549
2.88078,2.0209,-11.447
2.88078,2.05351,-10.4119
2.88078,2.08612,-10.4422
2.88078,2.11873,-42.2217
2.88078,2.15134,-53.5843
2.88078,2.18394,-53.2828
2.88078,2.21655,-49.3007
2.88078,2.24916,-49.2825
2.88078,2.28177,-11.0182
2.88078,2.31438,-9.42717
2.88078,2.34699,-9.56575
2.88078,2.3796,-9.31082
2.91339,1.14047,-61.923
2.91339,1.17307,-61.9236
2.91339,1.20568,-46.352
2.91339,1.23829,-55.9997
2.91339,1.2709,-56.3044
2.91339,1.30351,-56.5997
2.91339,1.33612,-16.7997
2.91339,1.36873,-8.69517
2.91339,1.40134,-7.6834
2.91339,1.43394,-7.34957
2.91339,1.46655,-7.73165
2.91339,1.49916,-7.36849
2.91339,1.53177,-2.83609
2.91339,1.56438,-1.09987
2.91339,1.59699,-1.45092
2.91339,1.6296,-2.64021
2.91339,1.6622,-9.65926
2.91339,1.69481,-9.19433
2.91339,1.72742,-9.06374
2.91339,1.76003,-20.9196
2.91339,1.79264,-52.3795
2.91339,1.82525,-52.9995
2.91339,1.85786,-56.8957
2.91339,1.89047,-15.1903
2.91339,1.92307,-18.4518
2.91339,1.95568,-18.4393
2.91339,1.98829,-15.4865
2.91339,2.0209,-15.5104
2.91339,2.05351,-15.7009
2.91339,2.08612,-42.7695
2.91339,2.11873,-42.7105
2.91339,2.15134,-42.3884
2.91339,2.18394,-53.5984
2.91339,2.21655,-49.3514
2.91339,2.24916,-49.1251
2.91339,2.28177,-10.709
2.91339,2.31438,-9.2027
2.91339,2.34699,-9.23249
2.91339,2.3796,-9.12387
2.946,1.14047,-61.8818
2.946,1.17307,-61.9018
2.946,1.20568,-49.1843
2.946,1.23829,-49.3159
2.946,1.2709,-56.2593
2.946,1.30351,-62.6357
2.946,1.33612,-62.6995
2.946,1.36873,-18.4901
2.946,1.40134,-18.1655
2.946,1.43394,-11.5762
2.946,1.46655,-8.80617
2.946,1.49916,-8.64931
2.946,1.53177,-3.6163
2.946,1.56438,-3.74431
2.946,1.59699,-2.96864
2.946,1.6296,-3.11888
2.946,1.6622,-7.28256
2.946,1.69481,-9.68621
2.946,1.72742,-9.57069
2.946,1.76003,-21.4733
2.946,1.79264,-19.2458
2.946,1.82525,-19.5554
2.946,1.85786,-14.0894
2.946,1.89047,-15.2021
2.946,1.92307,-15.2671
2.946,1.95568,-10.5919
2.946,1.98829,-10.6672
2.946,2.0209,-15.6654
2.946,2.05351,-12.2917
2.946,2.08612,-12.4003
2.946,2.11873,-48.0913
2.946,2.15134,-47.6895
2.946,2.18394,-48.0093
2.946,2.21655,-47.699
2.946,2.24916,-47.3541
2.946,2.28177,-52.2452
2.946,2.31438,-52.0739
2.946,2.34699,-35.2376
2.946,2.3796,-35.3635
2.9786,1.14047,-62.0169
2.9786,1.17307,-62.0295
2.9786,1.20568,-49.2427
2.9786,1.23829,-49.3207
2.9786,1.2709,-58.3463
2.9786,1.30351,-62.631
2.9786,1.33612,-42.6732
2.9786,1.36873,-42.7036
2.9786,1.40134,-62.4737
2.9786,1.43394,-62.3855
2.9786,1.46655,-8.99492
2.9786,1.49916,-9.08949
2.9786,1.53177,-4.10795
2.9786,1.56438,-4.52261
2.9786,1.59699,-4.49768
2.9786,1.6296,-3.58602
2.9786,1.6622,-8.52405
2.9786,1.69481,-8.52612
2.9786,1.72742,-10.0746
2.9786,1.76003,-22.077
2.9786,1.79264,-14.4435
2.9786,1.82525,-14.6023
2.9786,1.85786,-14.3104
2.9786,1.89047,-14.5127
2.9786,1.92307,-19.8462
2.9786,1.95568,-19.7864
2.9786,1.98829,-22.886
2.9786,2.0209,-22.8239
2.9786,2.05351,-22.7859
2.9786,2.08612,-30.2322
2.9786,2.11873,-30.2559
2.9786,2.15134,-63.1726
2.9786,2.18394,-62.8674
2.9786,2.21655,-47.6754
2.9786,2.24916,-39.1775
2.9786,2.28177,-38.9321
2.9786,2.31438,-38.75
2.9786,2.34699,-35.2221
2.9786,2.3796,-35.3868
3.01121,1.14047,-62.1614
3.01121,1.17307,-62.1795
3.01121,1.20568,-62.0602
3.01121,1.23829,-62.1092
3.01121,1.2709,-58.286
3.01121,1.30351,-58.4949
3.01121,1.33612,-62.3919
3.01121,1.36873,-42.3724
3.01121,1.40134,-62.3078
3.01121,1.43394,-58.2751
3.01121,1.46655,-52.8556
3.01121,1.49916,-52.8237
3.01121,1.53177,-18.0638
3.01121,1.56438,-4.70052
3.01121,1.59699,-9.88817
3.01121,1.6296,-9.71852
3.01121,1.6622,-8.51256
3.01121,1.69481,-8.13352
3.01121,1.72742,-8.38428
3.01121,1.76003,-8.65115
3.01121,1.79264,-8.7454
3.01121,1.82525,-22.1312
3.01121,1.85786,-14.3101
3.01121,1.89047,-22.3686
3.01121,1.92307,-22.4525
3.01121,1.95568,-22.2601
3.01121,1.98829,-49.2168
3.01121,2.0209,-49.0241
3.01121,2.05351,-48.9057
3.01121,2.08612,-29.5614
3.01121,2.11873,-29.5184
3.01121,2.15134,-62.4739
3.01121,2.18394,-8.18365
3.01121,2.21655,-7.40803
3.01121,2.24916,-7.25133
3.01121,2.28177,-39.0105
3.01121,2.31438,-38.8917
3.01121,2.34699,-40.9422
3.01121,2.3796,-35.4655
3.04382,1.14047,-62.5959
3.04382,1.17307,-62.5317
3.04382,1.20568,-46.8238
3.04382,1.23829,-46.6926
3.04382,1.2709,-58.2414
3.04382,1.30351,-62.3499
3.04382,1.33612,-62.2806
3.04382,1.36873,-62.3937
3.04382,1.40134,-62.4714
3.04382,1.43394,-58.4486
3.04382,1.46655,-58.5651
3.04382,1.49916,-31.7007
3.04382,1.53177,-18.0932
3.04382,1.56438,-18.9418
3.04382,1.59699,-9.7942
3.04382,1.6296,-9.64674
3.04382,1.6622,-7.48156
3.04382,1.69481,-8.41863
3.04382,1.72742,-8.80819
3.04382,1.76003,-8.97937
3.04382,1.79264,-14.8036
3.04382,1.82525,-22.199
3.04382,1.85786,-23.8943
3.04382,1.89047,-23.9499
3.04382,1.92307,-57.3662
3.04382,1.95568,-57.3109
3.04382,1.98829,-57.083
3.04382,2.0209,-49.8048
3.04382,2.05351,-49.5475
3.04382,2.08612,-14.5814
3.04382,2.11873,-14.3968
3.04382,2.15134,-14.3745
3.04382,2.18394,-7.96193
3.04382,2.21655,-7.51735
3.04382,2.24916,-7.69946
3.04382,2.28177,-8.26887
3.04382,2.31438,-8.26754
3.04382,2.34699,-41.3185
3.04382,2.3796,-41.3636
3.07643,1.14047,-44.0204
3.07643,1.17307,-37.8582
3.07643,1.20568,-47.042
3.07643,1.23829,-62.3972
3.07643,1.2709,-56.2153
3.07643,1.30351,-56.3283
3.07643,1.33612,-62.4545
3.07643,1.36873,-62.6674
3.07643,1.40134,-62.8579
3.07643,1.43394,-62.792
3.07643,1.46655,-53.3088
3.07643,1.49916,-53.0493
3.07643,1.53177,-18.0326
3.07643,1.56438,-18.6469
3.07643,1.59699,-9.26383
3.07643,1.6296,-9.24573
3.07643,1.6622,-7.2398
3.07643,1.69481,-8.1935
3.07643,1.72742,-8.50508
3.07643,1.76003,-20.9895
3.07643,1.79264,-14.7509
3.07643,1.82525,-22.3643
3.07643,1.85786,-23.9478
3.07643,1.89047,-49.6041
3.07643,1.92307,-49.6128
3.07643,1.95568,-49.431
3.07643,1.98829,-49.2492
3.07643,2.0209,-49.0996
3.07643,2.05351,-48.8003
3.07643,2.08612,-9.79253
3.07643,2.11873,-9.81104
3.07643,2.15134,-6.8319
3.07643,2.18394,-7.09875
3.07643,2.21655,-7.78506
3.07643,2.24916,-4.72723
3.07643,2.28177,-4.63058
3.07643,2.31438,-4.39223
3.07643,2.34699,-41.4673
3.07643,2.3796,-11.6398
