x,y,z
2.68001,1.13469,-0.059069
2.68001,1.16729,-3.41187
2.68001,1.1999,-7.04844
2.68001,1.23251,-11.8541
2.68001,1.26512,-19.8764
2.68001,1.29773,-39.6596
2.68001,1.33034,-45.0821
2.68001,1.36295,-50.3629
2.68001,1.39556,-47.5614
2.68001,1.42816,-47.802
2.68001,1.46077,-46.9813
2.68001,1.49338,-47.0815
2.68001,1.52599,-47.0712
2.68001,1.5586,-29.2419
2.68001,1.59121,-9.52442
2.68001,1.62382,-0.0163187
2.68001,1.65643,3.29173
2.68001,1.68903,5.02567
2.68001,1.72164,0.951076
2.68001,1.75425,-1.15368
2.68001,1.78686,-3.09232
2.68001,1.81947,-5.62258
2.68001,1.85208,-6.43454
2.68001,1.88469,-7.12031
2.68001,1.91729,-10.8482
2.68001,1.9499,-10.1404
2.68001,1.98251,-13.6776
2.68001,2.01512,-27.532
2.68001,2.04773,-45.0242
2.68001,2.08034,-47.3564
2.68001,2.11295,-47.752
2.68001,2.14556,-49.137
2.68001,2.17816,-49.003
2.68001,2.21077,-48.8249
2.68001,2.24338,-50.1326
2.68001,2.27599,-48.8965
2.68001,2.3086,-50.677
2.68001,2.34121,-50.0148
2.68001,2.37382,-50.7041
2.71262,1.13469,-0.970193
2.71262,1.16729,-1.53245
2.71262,1.1999,-5.75143
2.71262,1.23251,-13.8179
2.71262,1.26512,-29.1037
2.71262,1.29773,-46.4359
2.71262,1.33034,-44.4361
2.71262,1.36295,-50.1875
2.71262,1.39556,-46.8716
2.71262,1.42816,-47.2721
2.71262,1.46077,-46.698
2.71262,1.49338,-35.8665
2.71262,1.52599,-25.5454
2.71262,1.5586,-18.5725
2.71262,1.59121,-7.68368
2.71262,1.62382,-2.79044
2.71262,1.65643,-0.925986
2.71262,1.68903,0.542173
2.71262,1.72164,-3.62218
2.71262,1.75425,-5.56356
2.71262,1.78686,-5.90629
2.71262,1.81947,-6.2615
2.71262,1.85208,-6.39427
2.71262,1.88469,-5.22836
2.71262,1.91729,-5.39578
2.71262,1.9499,-5.99316
2.71262,1.98251,-9.24755
2.71262,2.01512,-23.0326
2.71262,2.04773,-43.799
2.71262,2.08034,-46.7842
2.71262,2.11295,-47.3463
2.71262,2.14556,-49.0215
2.71262,2.17816,-48.6625
2.71262,2.21077,-47.8128
2.71262,2.24338,-51.6829
2.71262,2.27599,-48.5917
2.71262,2.3086,-50.6372
2.71262,2.34121,-49.8559
2.71262,2.37382,-51.6321
2.74522,1.13469,-1.82627
2.74522,1.16729,-2.83691
2.74522,1.1999,-8.7658
2.74522,1.23251,-20.7308
2.74522,1.26512,-43.7521
2.74522,1.29773,-48.851
2.74522,1.33034,-45.2996
2.74522,1.36295,-50.4659
2.74522,1.39556,-43.3377
2.74522,1.42816,-39.8206
2.74522,1.46077,-19.1433
2.74522,1.49338,-11.4958
2.74522,1.52599,-9.92783
2.74522,1.5586,-10.0372
2.74522,1.59121,-7.26218
2.74522,1.62382,-6.51087
2.74522,1.65643,-8.14729
2.74522,1.68903,-6.01606
2.74522,1.72164,-8.57919
2.74522,1.75425,-9.28563
2.74522,1.78686,-5.21649
2.74522,1.81947,-4.20588
2.74522,1.85208,-2.55122
2.74522,1.88469,-1.30998
2.74522,1.91729,-2.80215
2.74522,1.9499,-4.51766
2.74522,1.98251,-7.60792
2.74522,2.01512,-21.8574
2.74522,2.04773,-43.9278
2.74522,2.08034,-45.6475
2.74522,2.11295,-45.823
2.74522,2.14556,-46.5233
2.74522,2.17816,-40.0894
2.74522,2.21077,-49.3477
2.74522,2.24338,-50.8671
2.74522,2.27599,-39.3315
2.74522,2.3086,-50.5221
2.74522,2.34121,-50.6339
2.74522,2.37382,-51.3384
