x,y,z
2.69086,1.13675,8.75e-06
2.69086,1.16284,0.001053
2.69086,1.18892,0.000401667
2.69086,1.21501,0.0086445
2.69086,1.2411,0.027124
2.69086,1.26718,0.072622
2.69086,1.29327,0.107584
2.69086,1.31936,0.094913
2.69086,1.34544,0.085849
2.69086,1.37153,0.0478673
2.69086,1.39762,0.033856
2.69086,1.4237,0.052183
2.69086,1.44979,0.079538
2.69086,1.47588,0.0880428
2.69086,1.50197,0.126006
2.69086,1.52805,0.241581
2.69086,1.55414,0.250054
2.69086,1.58023,0.288599
2.69086,1.60631,0.319939
2.69086,1.6324,0.17783
2.69086,1.65849,0.210369
2.69086,1.68457,0.288369
2.69086,1.71066,0.0451409
2.69086,1.73675,7.83333e-06
2.69086,1.76284,1.74e-05
2.69086,1.78892,1.96667e-05
2.69086,1.81501,1.4e-05
2.69086,1.8411,7.33333e-06
2.69086,1.86718,5.4e-06
2.69086,1.89327,5.77778e-06
2.69086,1.91936,1.1e-05
2.69086,1.94544,5e-06
2.69086,1.97153,6.33333e-06
2.69086,1.99762,1.5125e-05
2.69086,2.0237,1.375e-05
2.69086,2.04979,1e-06
2.69086,2.07588,1.625e-05
2.69086,2.10197,2.65e-05
2.69086,2.12805,0.0033385
2.69086,2.15414,0.015625
2.69086,2.18023,0.151021
2.69086,2.20631,0.247209
2.69086,2.2324,0.268324
2.69086,2.25849,0.307123
2.69086,2.28457,0.287423
2.69086,2.31066,0.32479
2.69086,2.33675,0.312195
2.69086,2.36284,0.248029
2.71695,1.13675,8.75e-06
2.71695,1.16284,0.001089
2.71695,1.18892,0.00972967
2.71695,1.21501,0.0265856
2.71695,1.2411,0.0265856
2.71695,1.26718,0.0689525
2.71695,1.29327,0.133617
2.71695,1.31936,0.133617
2.71695,1.34544,0.045369
2.71695,1.37153,0.0556712
2.71695,1.39762,0.050625
2.71695,1.4237,0.095824
2.71695,1.44979,0.173812
2.71695,1.47588,0.163524
2.71695,1.50197,0.24007
2.71695,1.52805,0.270941
2.71695,1.55414,0.283107
2.71695,1.58023,0.223148
2.71695,1.60631,0.290681
2.71695,1.6324,0.175428
2.71695,1.65849,0.014641
2.71695,1.68457,0.0291975
2.71695,1.71066,0.0291975
2.71695,1.73675,5.1e-05
2.71695,1.76284,8.5e-06
2.71695,1.78892,1.1e-05
2.71695,1.81501,1.1e-05
2.71695,1.8411,2.825e-05
2.71695,1.86718,6.25e-06
2.71695,1.89327,6e-06
2.71695,1.91936,1e-06
2.71695,1.94544,1e-05
2.71695,1.97153,1e-05
2.71695,1.99762,1e-06
2.71695,2.0237,8e-06
2.71695,2.04979,4.25e-05
2.71695,2.07588,4.25e-05
2.71695,2.10197,2.65e-05
2.71695,2.12805,4e-06
2.71695,2.15414,4e-06
2.71695,2.18023,0.122241
2.71695,2.20631,0.226576
2.71695,2.2324,0.226576
2.71695,2.25849,0.244036
2.71695,2.28457,0.244036
2.71695,2.31066,0.330625
2.71695,2.33675,0.28311
2.71695,2.36284,0.251452
2.74303,1.13675,1e-06
2.74303,1.16284,0.00153
2.74303,1.18892,0.0106137
2.74303,1.21501,0.0106137
2.74303,1.2411,0.095481
2.74303,1.26718,0.095481
2.74303,1.29327,0.133617
2.74303,1.31936,0.0900847
2.74303,1.34544,0.0900847
2.74303,1.37153,0.166464
2.74303,1.39762,0.166464
2.74303,1.4237,0.200276
2.74303,1.44979,0.406841
2.74303,1.47588,0.406841
2.74303,1.50197,0.543364
2.74303,1.52805,0.408481
2.74303,1.55414,0.263604
2.74303,1.58023,0.351329
2.74303,1.60631,0.116019
2.74303,1.6324,0.128447
2.74303,1.65849,0.052601
2.74303,1.68457,0.177013
2.74303,1.71066,1e-05
2.74303,1.73675,1.58333e-05
2.74303,1.76284,1e-06
2.74303,1.78892,3.25e-05
2.74303,1.81501,9e-06
2.74303,1.8411,0.000225
2.74303,1.86718,2.5e-06
2.74303,1.89327,0.003364
2.74303,1.91936,0.00371367
2.74303,1.94544,2e-06
2.74303,1.97153,1.86667e-05
2.74303,1.99762,1e-05
2.74303,2.0237,7e-06
2.74303,2.04979,1e-06
2.74303,2.07588,4e-06
2.74303,2.10197,4e-06
2.74303,2.12805,4e-06
2.74303,2.15414,2.96667e-05
2.74303,2.18023,2.96667e-05
2.74303,2.20631,0.094261
2.74303,2.2324,0.094261
2.74303,2.25849,0.257049
2.74303,2.28457,0.315844
2.74303,2.31066,0.303665
2.74303,2.33675,0.374544
2.74303,2.36284,0.272234
2.76912,1.13675,9.66667e-06
2.76912,1.16284,9e-06
2.76912,1.18892,0.007056
2.76912,1.21501,0.007056
2.76912,1.2411,0.0216407
2.76912,1.26718,0.0194465
2.76912,1.29327,0.0194465
2.76912,1.31936,0.027959
2.76912,1.34544,0.090601
2.76912,1.37153,0.237039
2.76912,1.39762,0.3721
2.76912,1.4237,0.796952
2.76912,1.44979,0.796952
2.76912,1.47588,1.50599
2.76912,1.50197,1.14131
2.76912,1.52805,0.6241
2.76912,1.55414,0.477063
2.76912,1.58023,0.321706
2.76912,1.60631,0.154988
2.76912,1.6324,0.0229725
2.76912,1.65849,4.96667e-05
2.76912,1.68457,2.56667e-05
2.76912,1.71066,1e-06
2.76912,1.73675,1e-06
2.76912,1.76284,2.04e-05
2.76912,1.78892,2.04e-05
2.76912,1.81501,0.00776425
2.76912,1.8411,0.0272879
2.76912,1.86718,0.014884
2.76912,1.89327,0.030445
2.76912,1.91936,0.00650375
2.76912,1.94544,1e-06
2.76912,1.97153,1e-06
2.76912,1.99762,1.53333e-05
2.76912,2.0237,3.75e-06
2.76912,2.04979,6.5e-06
2.76912,2.07588,2.6e-05
2.76912,2.10197,4e-06
2.76912,2.12805,1e-06
2.76912,2.15414,1e-06
2.76912,2.18023,6.5e-06
2.76912,2.20631,6.5e-06
2.76912,2.2324,0.011236
2.76912,2.25849,0.0756838
2.76912,2.28457,0.0756838
2.76912,2.31066,0.303665
2.76912,2.33675,0.074825
2.76912,2.36284,0.0246967
2.79521,1.13675,1.85e-05
2.79521,1.16284,0.000640667
2.79521,1.18892,0.000324
2.79521,1.21501,0.0007825
2.79521,1.2411,5e-06
2.79521,1.26718,0.0008585
2.79521,1.29327,1e-06
2.79521,1.31936,1e-06
2.79521,1.34544,0.0360603
2.79521,1.37153,0.1024
2.79521,1.39762,0.276676
2.79521,1.4237,1.2622
2.79521,1.44979,1.82699
2.79521,1.47588,1.91214
2.79521,1.50197,1.63845
2.79521,1.52805,1.22795
2.79521,1.55414,0.422724
2.79521,1.58023,0.222974
2.79521,1.60631,0.0653692
2.79521,1.6324,0.00077225
2.79521,1.65849,1.05e-05
2.79521,1.68457,3.6e-05
2.79521,1.71066,3.66667e-06
2.79521,1.73675,4.86667e-05
2.79521,1.76284,3e-06
2.79521,1.78892,0.0003566
2.79521,1.81501,0.004517
2.79521,1.8411,0.00750257
2.79521,1.86718,0.00540175
2.79521,1.89327,0.0016386
2.79521,1.91936,0.0022075
2.79521,1.94544,5e-06
2.79521,1.97153,7.33333e-06
2.79521,1.99762,4e-06
2.79521,2.0237,1.45e-05
2.79521,2.04979,4.5e-05
2.79521,2.07588,1.13333e-05
2.79521,2.10197,1.13333e-05
2.79521,2.12805,6.5e-06
2.79521,2.15414,9e-06
