x,y,z
2.68513,1.14047,-51.3501
2.68513,1.17307,-31.5197
2.68513,1.20568,-28.0396
2.68513,1.23829,-17.942
2.68513,1.2709,-13.1869
2.68513,1.30351,-10.7967
2.68513,1.33612,-10.3907
2.68513,1.36873,-11.7807
2.68513,1.40134,-12.7888
2.68513,1.43394,-11.8621
2.68513,1.46655,-10.072
2.68513,1.49916,-9.17438
2.68513,1.53177,-6.64748
2.68513,1.56438,-6.23224
2.68513,1.59699,-4.98301
2.68513,1.6296,-4.7442
2.68513,1.6622,-6.22965
2.68513,1.69481,-8.22998
2.68513,1.72742,-52.0007
2.68513,1.76003,-49.0378
2.68513,1.79264,-50.761
2.68513,1.82525,-51.4509
2.68513,1.85786,-55.7848
2.68513,1.89047,-56.2946
2.68513,1.92307,-57.4976
2.68513,1.95568,-55.2969
2.68513,1.98829,-51.5475
2.68513,2.0209,-59.7798
2.68513,2.05351,-47.0226
2.68513,2.08612,-50.1824
2.68513,2.11873,-25.6057
2.68513,2.15134,-20.07
2.68513,2.18394,-11.282
2.68513,2.21655,-8.99207
2.68513,2.24916,-7.34649
2.68513,2.28177,-8.71538
2.68513,2.31438,-8.27811
2.68513,2.34699,-8.66486
2.68513,2.3796,-8.95228
2.71774,1.14047,-51.5856
2.71774,1.17307,-21.8542
2.71774,1.20568,-18.8507
2.71774,1.23829,-15.2968
2.71774,1.2709,-11.3189
2.71774,1.30351,-9.90935
2.71774,1.33612,-13.423
2.71774,1.36873,-11.6185
2.71774,1.40134,-11.3099
2.71774,1.43394,-7.01181
2.71774,1.46655,-7.05043
2.71774,1.49916,-6.35313
2.71774,1.53177,-6.40212
2.71774,1.56438,-6.54988
2.71774,1.59699,-5.23006
2.71774,1.6296,-7.47342
2.71774,1.6622,-12.8555
2.71774,1.69481,-23.1558
2.71774,1.72742,-28.8094
2.71774,1.76003,-46.8921
2.71774,1.79264,-53.5197
2.71774,1.82525,-56.0519
2.71774,1.85786,-50.7434
2.71774,1.89047,-56.4569
2.71774,1.92307,-31.5707
2.71774,1.95568,-57.2715
2.71774,1.98829,-50.7174
2.71774,2.0209,-51.9686
2.71774,2.05351,-47.6032
2.71774,2.08612,-48.8947
2.71774,2.11873,-38.2057
2.71774,2.15134,-26.947
2.71774,2.18394,-10.0611
2.71774,2.21655,-8.22319
2.71774,2.24916,-8.46694
2.71774,2.28177,-8.00394
2.71774,2.31438,-8.0387
2.71774,2.34699,-8.90032
2.71774,2.3796,-10.3569
2.75034,1.14047,-61.4207
2.75034,1.17307,-28.0525
2.75034,1.20568,-17.6994
2.75034,1.23829,-12.785
2.75034,1.2709,-17.1491
2.75034,1.30351,-12.1207
2.75034,1.33612,-11.6444
2.75034,1.36873,-6.35215
2.75034,1.40134,-4.78927
2.75034,1.43394,-2.92309
2.75034,1.46655,-0.0685263
2.75034,1.49916,-1.10847
2.75034,1.53177,-4.17257
2.75034,1.56438,-5.04107
2.75034,1.59699,-9.35232
2.75034,1.6296,-7.10923
2.75034,1.6622,-13.7939
2.75034,1.69481,-8.26154
2.75034,1.72742,-47.2083
2.75034,1.76003,-52.0113
2.75034,1.79264,-47.3509
2.75034,1.82525,-25.5467
2.75034,1.85786,-28.8516
2.75034,1.89047,-28.4727
2.75034,1.92307,-30.5308
2.75034,1.95568,-59.5086
2.75034,1.98829,-49.1642
2.75034,2.0209,-55.4981
2.75034,2.05351,-57.8996
2.75034,2.08612,-52.5556
2.75034,2.11873,-55.6859
2.75034,2.15134,-47.1996
2.75034,2.18394,-47.6193
2.75034,2.21655,-12.8687
2.75034,2.24916,-8.5869
2.75034,2.28177,-8.81917
2.75034,2.31438,-7.97294
2.75034,2.34699,-9.06151
2.75034,2.3796,-18.6969
2.78295,1.14047,-50.6862
2.78295,1.17307,-28.4484
2.78295,1.20568,-32.9205
2.78295,1.23829,-24.9106
2.78295,1.2709,-23.1616
2.78295,1.30351,-17.7868
2.78295,1.33612,-14.758
