x,y,z
2.68513,1.14047,-51.2277
2.68513,1.17307,-55.0125
2.68513,1.20568,-51.6876
2.68513,1.23829,-55.3399
2.68513,1.2709,-55.0768
2.68513,1.30351,-53.7693
2.68513,1.33612,-52.7383
2.68513,1.36873,-44.3486
2.68513,1.40134,-43.8527
2.68513,1.43394,-52.383
2.68513,1.46655,-20.8041
2.68513,1.49916,-14.1577
2.68513,1.53177,-9.4202
2.68513,1.56438,-8.04963
2.68513,1.59699,-6.08553
2.68513,1.6296,-5.60849
2.68513,1.6622,-2.19426
2.68513,1.69481,-1.10618
2.68513,1.72742,-7.39512
2.68513,1.76003,-11.0576
2.68513,1.79264,-13.1317
2.68513,1.82525,-27.7888
2.68513,1.85786,-63.8466
2.68513,1.89047,-52.5346
2.68513,1.92307,-63.6706
2.68513,1.95568,-53.7708
2.68513,1.98829,-51.9917
2.68513,2.0209,-55.8004
2.68513,2.05351,-55.5959
2.68513,2.08612,-62.2236
2.68513,2.11873,-62.1518
2.68513,2.15134,-62.0082
2.68513,2.18394,-48.1508
2.68513,2.21655,-48.2867
2.68513,2.24916,-22.1644
2.68513,2.28177,-19.0026
2.68513,2.31438,-19.3027
2.68513,2.34699,-26.5702
2.68513,2.3796,-26.8576
2.71774,1.14047,-51.4632
2.71774,1.17307,-53.1384
2.71774,1.20568,-51.7357
2.71774,1.23829,-51.8614
2.71774,1.2709,-51.6904
2.71774,1.30351,-51.4057
2.71774,1.33612,-50.4482
2.71774,1.36873,-49.5324
2.71774,1.40134,-58.3536
2.71774,1.43394,-10.3806
2.71774,1.46655,-5.42671
2.71774,1.49916,-7.89732
2.71774,1.53177,-3.65649
2.71774,1.56438,-5.99683
2.71774,1.59699,-4.05424
2.71774,1.6296,-4.80208
2.71774,1.6622,-2.67668
2.71774,1.69481,-7.4387
2.71774,1.72742,-9.14069
2.71774,1.76003,-13.9999
2.71774,1.79264,-17.9052
2.71774,1.82525,-18.3746
2.71774,1.85786,-25.6304
2.71774,1.89047,-23.6519
2.71774,1.92307,-48.7813
2.71774,1.95568,-46.7057
2.71774,1.98829,-54.3076
2.71774,2.0209,-49.3658
2.71774,2.05351,-62.177
2.71774,2.08612,-62.0475
2.71774,2.11873,-62.0662
2.71774,2.15134,-62.2155
2.71774,2.18394,-15.8734
2.71774,2.21655,-13.6193
2.71774,2.24916,-18.0912
2.71774,2.28177,-12.5197
2.71774,2.31438,-17.9637
2.71774,2.34699,-25.7487
2.71774,2.3796,-63.8283
2.75034,1.14047,-51.8783
2.75034,1.17307,-55.5321
2.75034,1.20568,-51.9074
2.75034,1.23829,-55.3874
2.75034,1.2709,-55.2817
2.75034,1.30351,-54.7445
2.75034,1.33612,-60.0105
2.75034,1.36873,-59.223
2.75034,1.40134,-58.5577
2.75034,1.43394,-3.59432
2.75034,1.46655,-1.10119
2.75034,1.49916,-0.377459
2.75034,1.53177,-0.37159
2.75034,1.56438,-0.144335
2.75034,1.59699,-1.33714
2.75034,1.6296,-4.63791
2.75034,1.6622,-3.81762
2.75034,1.69481,-1.8821
2.75034,1.72742,-9.38967
2.75034,1.76003,-17.0422
2.75034,1.79264,-14.5358
2.75034,1.82525,-15.4696
2.75034,1.85786,-14.8782
2.75034,1.89047,-26.4883
2.75034,1.92307,-63.4908
2.75034,1.95568,-24.1404
2.75034,1.98829,-53.5154
2.75034,2.0209,-54.0591
2.75034,2.05351,-53.7499
2.75034,2.08612,-61.5865
2.75034,2.11873,-61.7065
2.75034,2.15134,-61.9223
2.75034,2.18394,-62.342
2.75034,2.21655,-13.7624
2.75034,2.24916,-15.8386
2.75034,2.28177,-16.0709
2.75034,2.31438,-17.9687
2.75034,2.34699,-25.6527
2.75034,2.3796,-63.6564
2.78295,1.14047,-61.892
